title,discipline,ini_year,last_year,title_id,publisher,publication_type,source
Modern Philology,Humanities ; Language & Literature,1903,2013,modernphilology,The University of Chicago Press,serial,jstor
The Scottish Historical Review,History ; History,1903,2011,scothistrev,Edinburgh University Press,serial,jstor
Transactions of the Kansas Academy of Science (1903-),Biological Sciences ; Science & Mathematics,1903,2013,trankansacadscie,Kansas Academy of Science,serial,jstor
BoletÃ_n de la Sociedad GeolÃ_gica Mexicana,Geology ; Science & Mathematics,1904,2016,bolesocideolmexi,Sociedad GeolÃ_gica Mexicana & Instituto de GeologÃ_a UNAM,serial,jstor
Ã‰riu,Area Studies ; Humanities ; Irish Studies ; Language & Literature ; Linguistics ; Social Sciences,1904,2013,eriu,Royal Irish Academy,serial,jstor
The Journal of Infectious Diseases,Health Sciences ; Medicine & Allied Health,1904,2011,jinfedise,Oxford University Press,serial,jstor
The Musical Times,Arts ; Music,1904,2013,musicaltimes,Musical Times Publications Ltd.,serial,jstor
The Classical Journal,Classical Studies ; Humanities,1905,2013,classicalj,"The Classical Association of the Middle West and South, Inc. (CAMWS)",serial,jstor
The Metropolitan Museum of Art Bulletin,Art & Art History ; Arts,1905,2013,metrmuseartbull,The Metropolitan Museum of Art,serial,jstor
The Modern Language Review,Humanities ; Language & Literature,1905,2013,modelangrevi,Modern Humanities Research Association,serial,jstor
The American Political Science Review,American Studies ; Area Studies ; Political Science ; Social Sciences,1906,2013,amerpoliscierevi,American Political Science Association,serial,jstor
Anthropos,Anthropology ; Linguistics ; Social Sciences,1906,2013,anthropos,Anthropos Institut,serial,jstor
Classical Philology,Classical Studies ; Humanities ; Language & Literature,1906,2013,clasphil,The University of Chicago Press,serial,jstor
Studies in Philology,Humanities ; Language & Literature,1906,2015,studphil,University of North Carolina Press,serial,jstor
Biochemical Journal,Biochem J,1906,2007,na,The Biochemical Society,na,pmc europe
The American Journal of International Law,Law ; Law ; Political Science ; Social Sciences,1907,2014,amerjintelaw,American Society of International Law,serial,jstor
The Classical Quarterly,Classical Studies ; Humanities,1907,2011,clasquar,Cambridge University Press,serial,jstor
Rivista degli studi orientali,Archaeology ; Area Studies ; Asian Studies ; Middle East Studies ; Social Sciences,1907,2011,rivideglstudorie,Sapienza - Universita di Roma,serial,jstor
Bartonia,Botany & Plant Sciences ; Science & Mathematics,1908,2016,bartonia,Philadelphia Botanical Club,serial,jstor
The Harvard Theological Review,Humanities ; Religion,1908,2011,harvtheorevi,Cambridge University Press,serial,jstor
The Mathematics Teacher,Education ; Mathematics ; Science & Mathematics ; Social Sciences,1908,2011,mathteacher,National Council of Teachers of Mathematics,serial,jstor
Mitteilungen des Kunsthistorischen Institutes in Florenz,Art & Art History ; Arts,1908,2016,mittkunsinstflor,NA,serial,jstor
Zeitschrift fÃ_r Politik,International Relations ; Political Science ; Social Sciences,1908,2013,zeitpoli,Nomos Verlagsgesellschaft mbH,serial,jstor
The American Midland Naturalist,Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1909,2013,amermidlnatu,The University of Notre Dame,serial,jstor
Glotta,Classical Studies ; Humanities,1909,2015,glotta,Vandenhoeck & Ruprecht (GmbH & Co. KG),serial,jstor
Mycologia,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1909,2013,mycologia,"Taylor & Francis, Ltd.",serial,jstor
Rivista di Filosofia Neo-Scolastica,Humanities ; Philosophy,1909,2011,rivifiloneoscol,Vita e Pensiero â€“ Pubblicazioni dellâ€™UniversitÃ  Cattolica del Sacro Cuore,serial,jstor
American Fern Journal,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1910,2013,americanfernj,American Fern Society,serial,jstor
The Town Planning Review,Public Policy & Administration ; Social Sciences,1910,2011,townplanrev,Liverpool University Press,serial,jstor
The American Economic Review,Business ; Business & Economics ; Economics,1911,2014,amereconrevi,American Economic Association,serial,jstor
Annals of the Association of American Geographers,Geography ; History ; History ; Social Sciences,1911,2011,annaassoamergeog,"Taylor & Francis, Ltd.",serial,jstor
The Journal of Roman Studies,Archaeology ; Classical Studies ; Humanities ; Social Sciences,1911,2013,jromanstudies,Society for the Promotion of Roman Studies,serial,jstor
Journal of the Washington Academy of Sciences,General Science ; Science & Mathematics,1911,2013,jwashacadscie,Washington Academy of Sciences,serial,jstor
The Volume of the Walpole Society,Art & Art History ; Arts,1911,2011,voluwalpsoci,The Walpole Society,serial,jstor
Bulletin of the Medical Library Association,Bull Med Libr Assoc,1911,2001,na,Medical Library Association,na,pmc europe
Archivium Hibernicum,History ; History,1912,2013,archhibe,Catholic Historical Society of Ireland,serial,jstor
California Law Review,Law ; Law,1912,2013,calilawrevi,"California Law Review, Inc.",serial,jstor
The English Journal,Education ; Humanities ; Language & Literature ; Social Sciences,1912,2013,englishj,National Council of Teachers of English,serial,jstor
The Papers of the Bibliographical Society of America,Bibliography ; Humanities ; Language & Literature,1912,2013,papebiblsociamer,The University of Chicago Press,serial,jstor
Poetry,Humanities ; Language & Literature,1912,2013,poetry,Poetry Foundation,serial,jstor
The Southwestern Historical Quarterly,American Studies ; Area Studies ; History ; History,1912,2013,swesthistquar,Texas State Historical Association,serial,jstor
Studies: An Irish Quarterly Review,Humanities ; Religion,1912,2015,studiesirishrev,Irish Province of the Society of Jesus,serial,jstor
Copeia,Aquatic Sciences ; Biological Sciences ; Science & Mathematics ; Zoology,1913,2013,copeia,American Society of Ichthyologists and Herpetologists (ASIH),serial,jstor
Indiana Magazine of History,American Studies ; Area Studies ; History ; History,1913,2014,indimagahist,Indiana University Press,serial,jstor
Isis,History ; History of Science & Technology,1913,2013,isis,The University of Chicago Press,serial,jstor
Journal of Ecology,Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1913,2011,jecology,British Ecological Society,serial,jstor
Revue de ThÃ©ologie et de Philosophie,Humanities ; Philosophy ; Religion,1913,2011,revutheophil,Librairie Droz,serial,jstor
Studien zur Musikwissenschaft,Arts ; Music,1913,2010,studmusik,Gesellschaft zur Herausgabe von Denkmalern der Tonkunst in Osterriech,serial,jstor
Virginia Law Review,Law ; Law,1913,2015,virglawrevi,Virginia Law Review,serial,jstor
Die Welt des Islams,Humanities ; Religion,1913,2011,weltislams,Brill,serial,jstor
Weltwirtschaftliches Archiv,Business ; Business & Economics ; Economics,1913,2002,weltarch,Springer,serial,jstor
