title,discipline,ini_year,last_year,title_id,publisher,publication_type,source
Africa: Journal of the International African Institute,African Studies ; Area Studies,1928,2011,afrijinteafriins,Cambridge University Press,serial,jstor
Les Ã‰tudes philosophiques,Humanities ; Philosophy,1928,2011,etudphil,Presses Universitaires de France,serial,jstor
The German Quarterly,Education ; Humanities ; Language & Literature ; Social Sciences,1928,2013,germanquarterly,Wiley,serial,jstor
Humanistica Lovaniensia,Classical Studies ; Humanities,1928,2013,humalova,Leuven University Press,serial,jstor
Journal of the Kansas Entomological Society,Biological Sciences ; Science & Mathematics ; Zoology,1928,2013,jkansentosoci,Kansas (Central States) Entomological Society,serial,jstor
LÄ•Å¡onÃ©nu: A Journal for the Study of the Hebrew Language and Cognate Subjects / _œ_©_•_ _ _•: _›_ª_‘-_¢_ª _œ_—_§_¨ _”_œ_©_•_Ÿ _”_¢_‘_¨_™_ª _•_”_ª_—_•___™_ù _”_¡___•_›_™_ù _œ_”,Area Studies ; Humanities ; Jewish Studies ; Language & Literature ; Linguistics ; Social Sciences,1928,2013,lesonenu,Academy of the Hebrew Language,serial,jstor
The New England Quarterly,American Studies ; Area Studies ; History ; History ; Humanities ; Language & Literature,1928,2013,newenglquar,"The New England Quarterly, Inc.",serial,jstor
Pacific Affairs,Area Studies ; Asian Studies,1928,2012,pacificaffairs,"Pacific Affairs, University of British Columbia",serial,jstor
The Slavonic and East European Review,Area Studies ; History ; History ; Humanities ; Language & Literature ; Slavic Studies,1928,2013,slaveasteurorev2,Modern Humanities Research Association,serial,jstor
The Yale Journal of Biology and Medicine,Yale J Biol Med,1928,2017,na,Yale Journal of Biology and Medicine,na,pmc europe
Corinth,Archaeology ; Art & Art History ; Arts ; Classical Studies ; Humanities ; Social Sciences,1929,2012,coriresuexca,The American School of Classical Studies at Athens,serial,jstor
Die Gartenbauwissenschaft,Botany & Plant Sciences ; Horticulture ; Science & Mathematics,1929,2002,gartenbauwissen,NA,serial,jstor
Human Biology,Anthropology ; Biological Sciences ; Medicine & Allied Health ; Public Health ; Science & Mathematics ; Social Sciences,1929,2013,humanbiology,Wayne State University Press,serial,jstor
The Journal of Modern History,History ; History,1929,2013,jmodernhistory,The University of Chicago Press,serial,jstor
Moznaim / ___ê_–_ _™_ù,Humanities ; Language & Literature,1929,2014,moznaim,Hebrew Writers Association in Israel,serial,jstor
Tarbiáº• / _ª_¨_‘_™_¥,Area Studies ; Humanities ; Jewish Studies ; Religion,1929,2015,tarbiz,"Mandel Institute for Jewish Studies / _”___›_•_Ÿ _œ___“_¢_™ _”_™_”_“_•_ª _¢""_© ___ _“_œ",serial,jstor
Analecta Hibernica,History ; History,1930,2013,analhibe,The Irish Manuscripts Commission Ltd.,serial,jstor
Bios,Biological Sciences ; Science & Mathematics,1930,2015,bios,Beta Beta Beta Biological Society,serial,jstor
Child Development,Education ; Psychology ; Social Sciences,1930,2011,childdevelopment,Wiley,serial,jstor
The Journal of Higher Education,Education ; Social Sciences,1930,2011,jhighereducation,"Taylor & Francis, Ltd.",serial,jstor
Oceania,Anthropology ; Area Studies ; Asian Studies ; Social Sciences,1930,2011,oceania,Wiley,serial,jstor
The Year's Work in Modern Language Studies,Humanities ; Language & Literature,1930,2013,yearworkmodlang,Brill,serial,jstor
Acta Musicologica,Arts ; Music,1931,2013,actamusicologica,International Musicological Society,serial,jstor
Brittonia,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1931,2011,brittonia,Springer,serial,jstor
Bulletin d'Ã©tudes orientales,Archaeology ; Area Studies ; Asian Studies ; Middle East Studies ; Social Sciences,1931,2014,bulletudorie,Institut Francais du Proche-Orient,serial,jstor
Ecological Monographs,Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1931,2014,ecolmono,Wiley,serial,jstor
Greece & Rome,Classical Studies ; Humanities,1931,2011,greecerome,Cambridge University Press,serial,jstor
"The Library Quarterly: Information, Community, Policy",Library Science ; Social Sciences,1931,2013,libraryq,The University of Chicago Press,serial,jstor
Philosophy,Humanities ; Philosophy,1931,2011,philosophy,Cambridge University Press,serial,jstor
Review of Educational Research,Education ; Social Sciences,1931,2013,revieducrese,American Educational Research Association,serial,jstor
The American Scholar,Humanities ; Language & Literature,1932,2011,americanscholar,The Phi Beta Kappa Society,serial,jstor
L'AntiquitÃ© Classique,Classical Studies ; Humanities,1932,2011,antiqclassi,L'AntiquitÃ© Classique,serial,jstor
Church History,History ; History ; Humanities ; Religion,1932,2011,churchhistory,Cambridge University Press,serial,jstor
Current Science,General Science ; Science & Mathematics,1932,2013,currentscience,Current Science Association,serial,jstor
Hesperia: The Journal of the American School of Classical Studies at Athens,Archaeology ; Architecture & Architectural History ; Art & Art History ; Arts ; Classical Studies ; Humanities ; Social Sciences,1932,2013,hesperia,The American School of Classical Studies at Athens,serial,jstor
Journal of Animal Ecology,Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1932,2011,janimalecology,British Ecological Society,serial,jstor
The Journal of Experimental Education,Education ; Social Sciences,1932,2009,jexperimentedu,"Taylor & Francis, Ltd.",serial,jstor
The Journal of Negro Education,African American Studies ; Area Studies ; Education ; Social Sciences,1932,2013,jnegroeducation,Journal of Negro Education,serial,jstor
Medium Ã†vum,Humanities ; Language & Literature,1932,2011,mediumaevum,Society for the Study of Medieval Languages and Literature,serial,jstor
New York History,History ; History,1932,2013,newyorkhist,New York State Historical Association,serial,jstor
Pacific Historical Review,American Studies ; Area Studies ; History ; History,1932,2013,pacihistrevi,University of California Press,serial,jstor
World Affairs,International Relations ; Political Science ; Social Sciences,1932,2014,worldaffairs,"Sage Publications, Inc.",serial,jstor
Zeitschrift fÃ_r Kunstgeschichte,Art & Art History ; Arts,1932,2011,zeitkuns,Deutscher Kunstverlag GmbH Munchen Berlin,serial,jstor
The Ulster Medical Journal,Ulster Med J,1932,2017,na,Ulster Medical Society,na,pmc europe
Analysis,Humanities ; Philosophy,1933,2011,analysis,Oxford University Press,serial,jstor
Econometrica,Business ; Business & Economics ; Economics ; Mathematics ; Science & Mathematics,1933,2014,econometrica,The Econometric Society,serial,jstor
Hispanic Review,Area Studies ; Humanities ; Language & Literature ; Latin American Studies,1933,2013,hispanicreview,University of Pennsylvania Press,serial,jstor
Law and Contemporary Problems,Law ; Law,1933,2011,lawcontprob,Duke University School of Law,serial,jstor
The Review of Economic Studies,Business ; Business & Economics ; Economics,1933,2013,revieconstud,Oxford University Press,serial,jstor
Science Progress (1933-),General Science ; Science & Mathematics,1933,2011,scienceprogress,Science Reviews 2000 Ltd.,serial,jstor
Southern Economic Journal,Business ; Business & Economics ; Economics,1933,2013,souteconj,Southern Economic Association,serial,jstor
Le Travail Humain,Psychology ; Social Sciences,1933,2011,travahuma,Presses Universitaires de France,serial,jstor
The University of Chicago Law Review,Law ; Law,1933,2017,univchiclawrevi,The University of Chicago Law Review,serial,jstor
Transactions of the American Clinical and Climatological Association,Trans Am Clin Climatol Assoc,1933,2017,na,American Clinical and Climatological Association,na,pmc europe
ELH,Humanities ; Language & Literature,1934,2011,elh,The Johns Hopkins University Press,serial,jstor
Genus,Population Studies ; Social Sciences,1934,2013,genus,UniversitÃ  degli Studi di Roma â€œLa Sapienzaâ€ù,serial,jstor
Iraq,Archaeology ; Area Studies ; Middle East Studies ; Social Sciences,1934,2011,iraq,British Institute for the Study of Iraq,serial,jstor
Music Educators Journal,Arts ; Education ; Music ; Social Sciences,1934,2013,musiceducatorsj,"Sage Publications, Inc.",serial,jstor
Notes,Arts ; Music,1934,2013,notes,Music Library Association,serial,jstor
Pennsylvania History: A Journal of Mid-Atlantic Studies,American Studies ; Area Studies ; History ; History,1934,2013,pennhistory,Penn State University Press,serial,jstor
Philosophy of Science,History ; History of Science & Technology ; Humanities ; Philosophy,1934,2013,philscie,The University of Chicago Press,serial,jstor
Planta,Botany & Plant Sciences ; Science & Mathematics,1934,2013,planta,Springer,serial,jstor
Revista HispÃ¡nica Moderna,Area Studies ; Latin American Studies,1934,2013,revihispmod,University of Pennsylvania Press,serial,jstor
Rivista Internazionale di Scienze Sociali,Business & Economics ; Economics ; Social Sciences ; Sociology,1934,2011,riviintesciesoci,Vita e Pensiero â€“ Pubblicazioni dellâ€™UniversitÃ  Cattolica del Sacro Cuore,serial,jstor
Social Research,Political Science ; Social Sciences ; Sociology,1934,2013,socialresearch,The New School,serial,jstor
El Trimestre EconÃ_mico,Business ; Business & Economics ; Economics,1934,2011,trimecon,Fondo de Cultura EconÃ_mica,serial,jstor
American Antiquity,Anthropology ; Archaeology ; Social Sciences,1935,2014,ameranti,Cambridge University Press,serial,jstor
Botanical Review,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1935,2011,botarevi,Springer,serial,jstor
Imago Mundi,Geography ; History ; History ; Social Sciences,1935,2009,imagomundi,"Imago Mundi, Ltd.",serial,jstor
The Journal of Southern History,American Studies ; Area Studies ; History ; History,1935,2011,jsouthernhistory,Southern Historical Association,serial,jstor
Kiva,Archaeology ; Social Sciences,1935,2010,kiva,"Taylor & Francis, Ltd.",serial,jstor
Monumenta Serica,Area Studies ; Asian Studies,1935,2010,monumentaserica,"Taylor & Francis, Ltd.",serial,jstor
Proceedings of the Indian History Congress,Area Studies ; Asian Studies ; History ; History,1935,2013,procindihistcong,Indian History Congress,serial,jstor
RodriguÃ©sia,Botany & Plant Sciences ; Science & Mathematics,1935,2012,rodriguesia,Instituto de Pesquisas Jardim BotÃ¢nico do Rio de Janeiro,serial,jstor
The University of Toronto Law Journal,Law ; Law,1935,2013,univtorolawj,University of Toronto Press,serial,jstor
Yearbook of the Association of Pacific Coast Geographers,Geography ; Social Sciences,1935,2013,yearassopacicoas,University of Hawai'i Press,serial,jstor
Zion / ___™_•_Ÿ,Area Studies ; History ; History ; Jewish Studies,1935,2011,zion,Historical Society of Israel / _”_—_‘_¨_” _”_”_™_¡_˜_•_¨_™_ª _”_™_©_¨_ê_œ_™_ª,serial,jstor
American Sociological Review,Social Sciences ; Sociology,1936,2014,amersocirevi,American Sociological Association,serial,jstor
The Classical Outlook,Classical Studies ; Humanities,1936,2015,classicaloutlook,American Classical League,serial,jstor
The Clearing House,Education ; Social Sciences,1936,2009,clearinghouse,"Taylor & Francis, Ltd.",serial,jstor
Harvard Journal of Asiatic Studies,Area Studies ; Asian Studies,1936,2011,harvjasiastud,Harvard-Yenching Institute,serial,jstor
Herpetologica,Biological Sciences ; Science & Mathematics ; Zoology,1936,2013,herpetologica,Allen Press,serial,jstor
JahrbÃ_cher fÃ_r Geschichte Osteuropas,History ; History,1936,2015,jahrgescoste,Franz Steiner Verlag,serial,jstor
Journal of Marketing,Business ; Business & Economics ; Marketing & Advertising,1936,2011,jmarketing,American Marketing Association,serial,jstor
The Journal of Symbolic Logic,Humanities ; Mathematics ; Philosophy ; Science & Mathematics,1936,2012,jsymboliclogic,Association for Symbolic Logic,serial,jstor
Monographs of the Society for Research in Child Development,Education ; Psychology ; Social Sciences,1936,2011,monosociresechil,Wiley,serial,jstor
Osiris,History ; History of Science & Technology,1936,2013,osiris,The University of Chicago Press,serial,jstor
The Pacific Northwest Quarterly,American Studies ; Area Studies ; History ; History,1936,2011,pacnorwestq,University of Washington,serial,jstor
Philosophia Reformata,Humanities ; Philosophy,1936,2011,philrefo,Brill,serial,jstor
Politique Ã©trangÃ¨re,Political Science ; Social Sciences,1936,2013,polietra,Institut FranÃ§ais des Relations Internationales,serial,jstor
Science & Society,Business & Economics ; Economics ; History ; History ; Humanities ; Philosophy,1936,2011,scieandsoci,Guilford Press,serial,jstor
Synthese,Humanities ; Philosophy,1936,2013,synthese,Springer,serial,jstor
Artibus Asiae. Supplementum,Area Studies ; Art & Art History ; Arts ; Asian Studies,1937,2006,artiasiasupp,Artibus Asiae Publishers,serial,jstor
Castanea,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1937,2013,castanea,Southern Appalachian Botanical Society,serial,jstor
The Florida Historical Quarterly,American Studies ; Area Studies ; History ; History,1937,2013,florhistquar,Florida Historical Society,serial,jstor
Hesperia Supplements,Archaeology ; Architecture & Architectural History ; Art & Art History ; Arts ; Classical Studies ; Humanities ; Social Sciences,1937,2013,hespsupp,The American School of Classical Studies at Athens,serial,jstor
Huntington Library Quarterly,Art & Art History ; Arts ; Bibliography ; History ; History ; Humanities ; Language & Literature ; Library Science ; Social Sciences,1937,2013,huntlibrquar,University of Pennsylvania Press,serial,jstor
Journal of ASFMRA,Business & Economics ; Economics,1937,2015,jasfmra,American Society of Farm Managers and Rural Appraisers (ASFMRA),serial,jstor
The Journal of Wildlife Management,Biological Sciences ; Science & Mathematics ; Zoology,1937,2014,jwildmana,Wiley,serial,jstor
Latomus,Classical Studies ; Humanities ; Linguistics ; Social Sciences,1937,2009,lato,SociÃ©tÃ© d'Ã‰tudes Latines de Bruxelles,serial,jstor
The Modern Law Review,Law ; Law ; Political Science ; Social Sciences,1937,2011,modernlawreview,Wiley,serial,jstor
Negro History Bulletin,African American Studies ; Area Studies ; History ; History,1937,2001,negrhistbull,Association for the Study of African American Life and History,serial,jstor
The Public Opinion Quarterly,Political Science ; Social Sciences ; Sociology,1937,2011,publopinquar,Oxford University Press,serial,jstor
The American Archivist,Library Science ; Social Sciences,1938,2013,amerarchivist,Society of American Archivists,serial,jstor
The American Biology Teacher,Biological Sciences ; Education ; Science & Mathematics ; Social Sciences,1938,2013,amerbiolteac,University of California Press,serial,jstor
Dublin Historical Record,History ; History,1938,2013,dublhistreco,Old Dublin Society,serial,jstor
Ethics,Humanities ; Philosophy,1938,2013,ethics,The University of Chicago Press,serial,jstor
The Historian,History ; History,1938,2011,historian,Wiley,serial,jstor
Irish Historical Studies,Area Studies ; History ; History ; Irish Studies,1938,2011,irishiststud,Cambridge University Press,serial,jstor
Monumenta Nipponica,Area Studies ; Asian Studies,1938,2011,monunipp,Sophia University,serial,jstor
Notes and Records of the Royal Society of London,History ; History of Science & Technology,1938,2013,noterecoroyasoci,Royal Society,serial,jstor
Oxford Economic Papers,Business ; Business & Economics ; Economics,1938,2011,oxfoeconpape,Oxford University Press,serial,jstor
Paideuma: Mitteilungen zur Kulturkunde,Anthropology ; Social Sciences,1938,2013,paideuma,Frobenius Institute,serial,jstor
Revista de Historia de AmÃ©rica,Area Studies ; History ; History ; Latin American Studies,1938,2011,revihistamer,Pan American Institute of Geography and History,serial,jstor
Revue Internationale de Philosophie,Humanities ; Philosophy,1938,2011,revuintephil,Revue Internationale de Philosophie,serial,jstor
Bulletin of the Deccan College Research Institute,Area Studies ; Asian Studies,1939,2012,bulldecccollrese,"Vice Chancellor, Deccan College Post-Graduate and Research Institute (Deemed University), Pune",serial,jstor
The Catholic Biblical Quarterly,Humanities ; Religion,1939,2011,cathbiblquar,Catholic Biblical Association,serial,jstor
College English,Education ; Humanities ; Language & Literature ; Social Sciences,1939,2013,collegeenglish,National Council of Teachers of English,serial,jstor
Giornale degli Economisti e Annali di Economia,Business ; Business & Economics ; Economics,1939,2012,gioecoanneco,EGEA SpA,serial,jstor
The Indian Journal of Political Science,International Relations ; Political Science ; Social Sciences,1939,2009,indijpoliscie,Indian Political Science Association,serial,jstor
Jewish Social Studies,Area Studies ; Humanities ; Jewish Studies ; Religion,1939,2013,jewisocistud,Indiana University Press,serial,jstor
The Journal of Politics,Political Science ; Social Sciences,1939,2013,jpolitics,The University of Chicago Press,serial,jstor
Journal of the Warburg and Courtauld Institutes,Art & Art History ; Arts ; History ; History ; Humanities ; Philosophy,1939,2013,jwarbcourinst,The Warburg Institute,serial,jstor
The Kenyon Review,Humanities ; Language & Literature,1939,2013,kenyrevi,Kenyon College,serial,jstor
The Review of Politics,Political Science ; Social Sciences,1939,2013,reviewpolitics,Cambridge University Press,serial,jstor
Revista Mexicana de SociologÃ_a,Area Studies ; Latin American Studies ; Social Sciences ; Sociology,1939,2013,revimexisoci,Universidad Nacional AutÃ_noma de MÃ©xico,serial,jstor
Tempo,Arts ; Music,1939,2011,tempo,Cambridge University Press,serial,jstor
Annals of the Rheumatic Diseases,Ann Rheum Dis,1939,2007,na,BMJ Publishing Group,na,pmc europe
